halo_customer_id,display_name,pbx_count,trunk_count
253,Asset One,0,1
43,Better Move Mobile Physiotherapy,0,1
235,BJE Management,1,3
175,Blambles Finance Group,0,2
250,Boland Petroleum,0,1
44,Boolah Farms,0,1
45,Buyrite Steel,0,1
101,Congdon Fuzi,1,1
172,Conrad Martens Plumbing,1,2
130,Critical Care Pest Management,0,1
48,Curio Financial,1,1
206,Dippers Home Timber & Hardware,1,1
114,Emerge Advisory Pty Ltd,0,1
210,Energy Trade Solutions,1,2
285,Hart Rural Agencies,1,0
200,HomeGlow Property Management,0,1
197,Inverell Dental,0,1
233,Inverell Freighters,0,1
219,Inverell Medical Centre,1,2
234,Inverell Sporties,1,1
335,Kellie Finaly Legal,0,1
313,Millers Espresso,0,1
279,Moni Finance,0,1
303,Mudgeeraba Seafoods,0,1
318,My Bookkeeping Buddy,0,1
225,Navigata365,0,1
205,New Hope Care,0,1
69,Northaven Disability Service,1,1
54,Northern Tablelands Conveyancing,0,1
362,Northside Basketball Incorporated,1,1
238,OzKleen Pty Ltd,1,0
106,Pinnacle Properties,1,2
59,Rothgard,1,1
170,Schmick Property Maintenance,0,1
61,Silverstone Developments,1,1
269,Sue OLoan,0,1
347,TLG Lawns and Landscapes Pty Ltd,0,1
199,Tramby & Hanks,0,1
62,Truck & Trailer Sales & Service,0,1
201,Web Safe Staff,0,1
107,Westside Dentistry,0,1
146,Wire-Not Electrical,1,1
305,WJ Matthews Trading Pty Ltd,1,1
12,Zahezone,3,2
186,ZenBook,0,1
