table_schema,table_name,ordinal_position,column_name,data_type,is_nullable,column_default
admin,v_customers,1,halo_customer_id,bigint,YES,
admin,v_customers,2,display_name,text,YES,
admin,v_customers,3,pbx_count,bigint,YES,
admin,v_customers,4,trunk_count,bigint,YES,
admin,v_customers_all,1,halo_customer_id,bigint,YES,
admin,v_customers_all,2,halo_billing_id,bigint,YES,
admin,v_customers_all,3,customer_slug,text,YES,
admin,v_customers_all,4,display_name,text,YES,
admin,v_customers_all,5,status,text,YES,
admin,v_customers_all,6,total_services,bigint,YES,
admin,v_customers_all,7,lifecycle_state,text,YES,
admin,v_pbx,1,module_id,uuid,YES,
admin,v_pbx,2,customer_name,text,YES,
admin,v_pbx,3,pbx_fqdn,text,YES,
admin,v_pbx,4,enabled,boolean,YES,
admin,v_trunks,1,module_id,uuid,YES,
admin,v_trunks,2,customer_name,text,YES,
admin,v_trunks,3,trunk_id,text,YES,
admin,v_trunks,4,provider,text,YES,
admin,v_trunks,5,concurrency_cap,integer,YES,
admin,v_trunks,6,monitoring_enabled,boolean,YES,
admin,v_trunks,7,enabled,boolean,YES,
manage_cfg,customer_halo_map,1,customer_slug,text,NO,
manage_cfg,customer_halo_map,2,halo_customer_id,bigint,YES,
manage_cfg,customer_halo_map,3,customer_name,text,YES,
manage_cfg,customer_halo_map,4,updated_at,timestamp with time zone,NO,now()
manage_cfg,customers,1,halo_customer_id,bigint,NO,
manage_cfg,customers,2,customer_slug,text,NO,
manage_cfg,customers,3,display_name,text,NO,
manage_cfg,customers,4,status,text,NO,'active'::text
manage_cfg,customers,5,billing_ref,text,YES,
manage_cfg,customers,6,notes,text,YES,
manage_cfg,customers,7,created_by,text,NO,
manage_cfg,customers,8,created_at,timestamp with time zone,NO,now()
manage_cfg,customers,9,updated_by,text,NO,
manage_cfg,customers,10,updated_at,timestamp with time zone,NO,now()
manage_cfg,customers,11,halo_billing_id,bigint,YES,
manage_cfg,modules,1,module_id,uuid,NO,gen_random_uuid()
manage_cfg,modules,2,halo_customer_id,bigint,NO,
manage_cfg,modules,3,module_type,text,NO,
manage_cfg,modules,4,external_key,text,NO,
manage_cfg,modules,5,enabled,boolean,NO,true
manage_cfg,modules,6,config_version,bigint,NO,1
manage_cfg,modules,7,created_by,text,NO,
manage_cfg,modules,8,created_at,timestamp with time zone,NO,now()
manage_cfg,modules,9,updated_by,text,NO,
manage_cfg,modules,10,updated_at,timestamp with time zone,NO,now()
manage_cfg,pbx_customer_map,1,pbx_fqdn,text,NO,
manage_cfg,pbx_customer_map,2,customer_slug,text,NO,
manage_cfg,pbx_customer_map,3,updated_by,text,NO,
manage_cfg,pbx_customer_map,4,updated_at,timestamp with time zone,NO,now()
manage_cfg,pbx_modules,1,module_id,uuid,NO,
manage_cfg,pbx_modules,2,pbx_fqdn,text,NO,
manage_cfg,pbx_modules,3,management_url,text,YES,
manage_cfg,pbx_modules,4,auth_method,text,NO,'basic'::text
manage_cfg,pbx_modules,5,credentials_ref,text,YES,
manage_cfg,pbx_modules,6,verify_tls,boolean,NO,true
