table_schema,table_name,column_name,foreign_table_schema,foreign_table_name,foreign_column_name,constraint_name
manage_cfg,modules,halo_customer_id,manage_cfg,customers,halo_customer_id,modules_halo_customer_id_fkey
manage_cfg,pbx_modules,module_id,manage_cfg,modules,module_id,pbx_modules_module_id_fkey
manage_cfg,trunk_modules,module_id,manage_cfg,modules,module_id,trunk_modules_module_id_fkey
manage_cfg,trunk_modules,pbx_module_id,manage_cfg,pbx_modules,module_id,trunk_modules_pbx_module_id_fkey
public,alert_events,pbx_id,public,pbx_instances,id,alert_events_pbx_id_fkey
public,alert_state,pbx_id,public,pbx_instances,id,alert_state_pbx_id_fkey
public,billing_customer_plan,plan_code,public,billing_plan_catalog,plan_code,billing_customer_plan_plan_code_fkey
public,manage_customers,customer_slug,public,customers,customer_slug,manage_customers_customer_slug_fkey
public,manage_pbxs,customer_slug,public,customers,customer_slug,manage_pbxs_customer_slug_fkey
public,manage_trunks,customer_slug,public,customers,customer_slug,manage_trunks_customer_slug_fkey
public,metric_points,pbx_id,public,pbx_instances,id,metric_points_pbx_id_fkey
public,pbx_systems,customer_slug,public,customers,customer_slug,fk_pbx_systems_customer
public,trunks,customer_slug,public,customers,customer_slug,trunks_customer_slug_fkey
public,trunks,pbx_id,public,pbx_systems,id,trunks_pbx_id_fkey
