halo_customer_id,customer_slug,display_name,status,billing_ref,notes,created_by,created_at,updated_by,updated_at,halo_billing_id
-999999,unassigned-monitor,Unassigned (Imported from Monitor),active,,,manage_seed,2026-04-09 05:11:23.015483+00,halo-reconciliation,2026-04-09 13:07:01.948258+00,
-100002,bjemanagement__old__-100002,BJE Management,inactive,, [superseded by HaloID 235],manage_seed,2026-04-09 05:56:15.035126+00,halo-reconciliation,2026-04-09 13:07:01.948258+00,
-100005,congdonfuzi__old__-100005,Congdon Fuzi,inactive,, [superseded by HaloID 101],manage_seed,2026-04-09 05:56:15.035126+00,halo-reconciliation,2026-04-09 13:07:01.948258+00,
-100004,cmph__old__-100004,Conrad Martens Plumbing,inactive,, [superseded by HaloID 172],manage_seed,2026-04-09 05:56:15.035126+00,halo-reconciliation,2026-04-09 13:07:01.948258+00,
-100006,curiofinancial__old__-100006,Curio Financial,inactive,, [superseded by HaloID 48],manage_seed,2026-04-09 05:56:15.035126+00,halo-reconciliation,2026-04-09 13:07:01.948258+00,
-100007,dippers__old__-100007,Dippers Home Timber & Hardware,inactive,, [superseded by HaloID 206],manage_seed,2026-04-09 05:56:15.035126+00,halo-reconciliation,2026-04-09 13:07:01.948258+00,
-100008,energytradesolutions__old__-100008,Energy Trade Solutions,inactive,, [superseded by HaloID 210],manage_seed,2026-04-09 05:56:15.035126+00,halo-reconciliation,2026-04-09 13:07:01.948258+00,
-100003,cbh__old__-100003,Hart Rural Agencies,inactive,, [superseded by HaloID 285],manage_seed,2026-04-09 05:56:15.035126+00,halo-reconciliation,2026-04-09 13:07:01.948258+00,
-100009,inverellmc__old__-100009,Inverell Medical Centre,inactive,, [superseded by HaloID 219],manage_seed,2026-04-09 05:56:15.035126+00,halo-reconciliation,2026-04-09 13:07:01.948258+00,
-100016,sporties__old__-100016,Inverell Sporties,inactive,, [superseded by HaloID 234],manage_seed,2026-04-09 05:56:15.035126+00,halo-reconciliation,2026-04-09 13:07:01.948258+00,
-100010,northaven__old__-100010,Northaven Disability Service,inactive,, [superseded by HaloID 69],manage_seed,2026-04-09 05:56:15.035126+00,halo-reconciliation,2026-04-09 13:07:01.948258+00,
-100011,northsidewizards__old__-100011,Northside Basketball Incorporated,inactive,, [superseded by HaloID 362],manage_seed,2026-04-09 05:56:15.035126+00,halo-reconciliation,2026-04-09 13:07:01.948258+00,
106,pinnacle-properties,Pinnacle Properties,active,,,manage_seed,2026-04-09 05:56:15.035126+00,authoritative-csv,2026-04-09 08:58:04.738999+00,106
59,rothgard,Rothgard,active,,,manage_seed,2026-04-09 05:56:15.035126+00,authoritative-csv,2026-04-09 08:58:04.738999+00,59
-100012,ozkleen__old__-100012,OzKleen Pty Ltd,inactive,, [superseded by HaloID 238],manage_seed,2026-04-09 05:56:15.035126+00,halo-reconciliation,2026-04-09 13:07:01.948258+00,
