module_id,trunk_id,provider,credentials_ref,pbx_module_id,monitoring_enabled,concurrency_cap,notes
b967b9c0-1eb9-4485-bc85-39114d542cb2,8tfwnrk,Breeze Connect,,,t,1,
8292d3b6-2ff2-4dc2-bcaa-a76bc5b1386f,cy9cazb,Breeze Connect,,,t,2,
95a4a376-f75a-47c1-b9b8-28f79b08c0a0,ugcc3x2,Breeze Connect,,,t,2,
cb6915dd-f9f8-470e-88f0-dcbeace0fbb7,fppgcny,Breeze Connect,,,t,2,
49f454c4-fcb5-45a6-88c8-30ac3c42b594,d7bs3c7,Breeze Connect,,,t,2,
0e25754a-a7eb-405b-ac8d-f91d3e8b7600,2a4vz38,Breeze Connect,,,t,4,
ced92859-ae66-4129-8d1e-370a288bf5eb,3gd5f8p,Breeze Connect,,,t,2,
143da6f2-ecf7-456f-b678-173a09ea306d,bks42jp,Breeze Connect,,,t,4,
ef48291e-9550-4b24-9ef8-12cfcc657e98,2jut3ds,Breeze Connect,,,t,4,
33cb6f78-401d-47d9-a35d-e20ea30cb489,r9bmm9a,Breeze Connect,,,t,2,
85017f5b-c840-46bf-a11a-56df1473001e,dd5h3tu,Breeze Connect,,,t,4,
4f9664fa-9e45-4a72-aec0-2c94ec06d926,r9qvb29,Breeze Connect,,,t,8,
6a7c7a67-4b76-4b1a-8875-4bc2e1d8052d,azuvn3x,Breeze Connect,,,t,4,
6b57ec30-adc6-411a-aa9a-7af7a2a0e805,txjfdqs,Breeze Connect,,,t,2,
7f3c3a30-4ba8-4ce1-aec9-3412636205f5,ejhm4ps,Breeze Connect,,,t,4,
8fdf0e7a-2df0-429a-8a8c-b446e67250d3,wzmyd2d,Breeze Connect,,,t,2,
01fc69cd-aac5-405a-9495-cc205482577a,psmd4rf,Breeze Connect,,,t,2,
8c2ab825-18bb-48cf-a6da-ed14133a069c,k37wnuu,Breeze Connect,,,t,6,
f1042e57-b12b-4b16-95d6-41d25359c99c,3kp2uyh,Breeze Connect,,,t,1,
7eef017f-3677-476a-b1df-60435316276b,gc2aqqa,Breeze Connect,,,t,5,
c8cec55b-a9d7-4437-9196-829204d708e1,pdtjgvg,Breeze Connect,,,t,1,
18606103-9655-45c4-9f0d-94fcb1936c40,3y5r7gd,Breeze Connect,,,t,4,
85ad8b57-aad7-4974-b000-b9add9595581,chxkbx3,Breeze Connect,,,t,1,
b96f448c-c327-4d61-b687-b0f14eae7999,8xp9z27,Breeze Connect,,,t,4,
4de42bd9-4f58-4a29-b25b-b5f9b56ea65b,xs3nu98,Breeze Connect,,,t,2,
cd53c028-d741-4b77-ad8a-405fac6d0dfe,7zr9xs8,Breeze Connect,,,t,2,
a51c17b4-851b-452d-a147-277871519d6f,f8zk7xk,Breeze Connect,,,t,2,
5d168f40-f999-4ea2-92fb-53238b5f959c,s7nmdav,Breeze Connect,,,t,2,
30439d0d-53a5-48f1-9715-a9d84b3849d5,k3n599r,Breeze Connect,,,t,2,
1006ad1a-6e0a-4312-bd40-2afebc792518,2g35g9e,Breeze Connect,,,t,2,
7066fd8c-e134-4bbf-9d21-3c3d04959a01,mxcecpp,Breeze Connect,,,t,2,
559fa2cd-9fdc-4d06-88e8-04ac780192c0,2f8bnvw,Breeze Connect,,,t,4,
709347c4-0322-4e3b-b004-dc01e8345722,ew53674,Breeze Connect,,,t,2,
0b3995fb-411f-469b-81db-e22db486d8a3,3zjfe3x,Breeze Connect,,,t,6,
eebad343-c195-4923-aeca-5b7b374458d2,ec4h3q7,Breeze Connect,,,t,1,
a0b58d9f-43b2-4832-919c-fc0c29fa9d26,e7frfut,Breeze Connect,,,t,4,
9afde87f-a453-48e4-92ec-8cfa5dd3a591,mhrknuf,Breeze Connect,,,t,2,
fab97ee0-3051-4944-a273-0ba1cc9a6378,nwa2esb,Breeze Connect,,,t,2,
ef5afa71-d98c-487e-97f0-c7ceb3e0fe18,qfx25rv,Breeze Connect,,,t,4,
cb4da1f2-b642-43d5-af44-16d83888984a,3hqdreq,Breeze Connect,,,t,2,
a29af4c8-f965-42fe-bc2e-1c95eeb49d79,s9qqv66,Breeze Connect,,,t,2,
149a6ea0-0696-4302-910d-ee7e20ca20fa,b5e699v,Breeze Connect,,,t,2,
2a98cede-9965-4de3-920a-dd00aa8ef97c,vtx64fq,Breeze Connect,,,t,2,
20427ec5-3841-4d54-b294-064590bfb79a,2xancfy,Breeze Connect,,,t,1,
59890b7c-fbd8-4df5-a6f7-b8b9b3341600,m3r5mfn,Breeze Connect,,,t,2,
254a52cc-d5e7-435a-b404-b68108b65020,dh2shym,Breeze Connect,,,t,2,
537e45dd-57fd-4ccb-b9ba-e48290e4ed9f,8zgvu3t,Breeze Connect,,,t,2,
8fefa711-2d48-4395-99ac-454550d12777,2b72bgj,Breeze Connect,,,t,2,
1f63990b-930e-4fed-b492-08ff8524c6aa,7yukh6w,Breeze Connect,,,t,2,
f1f3beea-cb44-49c8-ad1e-1c298854c359,emkj3tv,Breeze Connect,,,t,1,
188c77a1-3bdd-4c2b-8162-f3b40fd92bb0,597ttmj,Breeze Connect,,,t,4,
