table_schema,table_name
admin,v_customers
admin,v_customers_all
admin,v_pbx
admin,v_trunks
manage_cfg,customer_halo_map
manage_cfg,customers
manage_cfg,modules
manage_cfg,pbx_customer_map
manage_cfg,pbx_modules
manage_cfg,trunk_import_stage
manage_cfg,trunk_modules
manage_cfg,trunks_import_stage
public,active_calls_10m
public,active_calls_1d
public,active_calls_1h
public,active_calls_1m
public,active_calls_5m
public,alert_events
public,alert_state
public,audit_number_allocation_rates_after_20260406
public,audit_number_allocation_rates_before_20260406
public,billing_customer_plan
public,billing_plan_catalog
public,call_cost_rates
public,call_volume_records
public,call_volume_records_stage
public,collector_3cx_session_probe
public,collector_api_probe
public,collector_heartbeat
public,costing_trunk_exclusions
public,customers
public,manage_audit_log
public,manage_customers
public,manage_pbxs
public,manage_trunks
public,manage_users
public,metric_points
public,number_allocation_rates
public,number_allocations
public,outbound_call_duration_daily
public,outbound_call_duration_monthly
public,outbound_total_cost_monthly
public,pbx_audit_log
public,pbx_instances
public,pbx_maintenance_windows
public,pbx_metric_latest
public,pbx_poll_targets
public,pbx_status_events
public,pbx_status_latest
public,pbx_system_flags
public,pbx_systems
public,pbx_uptime_monthly
public,rollup_state
public,stg_breeze_numbers
public,system_metadata
public,trunk_concurrency_allocations
public,trunk_concurrency_rates
public,trunks
public,v_admin_pbx_overview
public,v_billing_calls_classified
public,v_billing_calls_deduped
public,v_billing_customer_plan_active
public,v_billing_monthly_invoice_lines
public,v_billing_monthly_usage
public,v_concurrency_calls_canonical
public,v_concurrency_outbound_domestic
public,v_manage_cfg_customers
public,v_manage_cfg_pbx
public,v_manage_cfg_trunk
public,v_pbx_current_status
public,v_pbx_multitenant_flag
public,v_uptime_current_month
public,v_uptime_history_monthly
