id,name,slug,halo_alias,created_at,active,alert_email
2,Inverell Medical Centre,inverell-medical-centre,219,2026-03-31 16:47:29.519162+00,t,support+InverellMedicalCentre@zahezone.com.au
4,ZZ Multi Tenant 1,zz-multi-tenant-1,zz01,2026-03-31 17:05:48.982324+00,t,support@zahezone.com.au
5,ZZ Multi Tenant 2,zz-multi-tenant-2,zz02,2026-03-31 17:07:08.071407+00,t,support@zahezone.com.au
1,ZaheZone,zahezone,12,2026-03-31 15:31:20.268483+00,t,""
10,Pinnacle Properties,pinnacle-properties,106,2026-04-01 01:15:28.721641+00,t,support+pinnacle@zahezone.com.au
12,Rothgard,rothgard,59,2026-04-01 05:03:40.564679+00,t,support+rothgard@zahezone.com.au
15,BJE Management,bje-management,235,2026-04-01 05:22:42.232321+00,t,support+bjemanagement@zahezone.com.au
14,AssetOne Finance,assetone-finance,253,2026-04-01 05:12:25.786129+00,t,support+assetone@zahezone.com.au
17,Congdon Fuzi,congdon-fuzi,101,2026-04-01 05:31:46.58119+00,t,support+congdonfuzi@zahezone.com.au
18, Curio Financial,curio-financial,48,2026-04-01 05:37:20.145556+00,t,support+curio@zahezone.com.au
19,Dippers Home Timber & Hardware,dippers-home-timber-hardware,206,2026-04-01 05:40:26.028701+00,t,support+dippers@zahezone.com.au
20,Energy Trade Solutions,energy-trade-solutions,210,2026-04-01 05:44:23.871367+00,t,support+EnergyTradeSolutions@zahezone.com.au
21, Hart Rural Agencies,hart-rural-agencies,285,2026-04-01 05:48:10.673234+00,t,support+hartrural@zahezone.com.au
22,Inverell Sporties,inverell-sporties,234,2026-04-01 05:51:52.564052+00,t,support+inverell.sporties@zahezone.com.au
23,Northaven Disability Service,northaven-disability-service,69,2026-04-01 05:54:48.952316+00,t,support+Northaven@zahezone.com.au
24,Northside Basketball Incorporated,northside-basketball-incorporated,362,2026-04-01 05:59:17.845611+00,t,support+wizards@zahezone.com.au
25,OzKleen Pty Ltd,ozkleen-pty-ltd,238,2026-04-01 06:01:37.157765+00,t,support+ozkleen@zahezone.com.au
26,Wire-Not Electrical,wire-not-electrical,146,2026-04-01 06:10:02.080847+00,t,support+wirenot@zahezone.com.au
27,Silverstone Developments,silverstone-developments,61,2026-04-01 06:12:30.700071+00,t,support+silverstone@zahezone.com.au
28,WJ Matthews Trading Pty Ltd,wj-matthews-trading-pty-ltd,305,2026-04-01 06:15:53.016559+00,t,support+wjwilliams@zahezone.com.au
